 "i" , "cLabel" , "sLabel" ,
 "http://dbpedia.org/resource/Brouwer_fixed-point_theorem" , "Fixed-point theorem --- theorem" , "Fixed-point theorems --- Theorems in convex geometry --- Theorems in topology" ,
 "http://dbpedia.org/resource/Bruck–Ryser–Chowla_theorem" , "theorem" , "Statistical theorems --- Theorems in combinatorics --- Theorems in projective geometry" ,
 "http://dbpedia.org/resource/Brumer_bound" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Brun's_theorem" , "theorem" , "Theorems about prime numbers" ,
 "http://dbpedia.org/resource/Brunn–Minkowski_theorem" , "inequality --- theorem" , "Geometric inequalities --- Theorems in convex geometry --- Theorems in measure theory" ,
 "http://dbpedia.org/resource/Brun–Titchmarsh_theorem" , "theorem" , "Theorems about prime numbers --- Theorems in analytic number theory" ,
 "http://dbpedia.org/resource/Budan's_theorem" , "theorem" , "Mathematical theorems" ,
 "http://dbpedia.org/resource/Burke's_theorem" , "theorem" , "Probability theorems" ,
 "http://dbpedia.org/resource/Burnside's_lemma" , "theorem" , "Lemmas" ,
 "http://dbpedia.org/resource/Burnside_theorem" , "theorem" , "Theorems in group theory" ,
 "http://dbpedia.org/resource/Busemann's_theorem" , "theorem" , "Geometric inequalities --- Theorems in convex geometry" ,
 "http://dbpedia.org/resource/Bussgang_theorem" , "theorem" , "Probability theorems" ,
 "http://dbpedia.org/resource/Butterfly_theorem" , "theorem" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/Bézout's_identity" , "theorem" , "Lemmas" ,
 "http://dbpedia.org/resource/Bézout's_theorem" , "theorem" , "Theorems in algebraic geometry --- Theorems in plane geometry" ,
 "http://dbpedia.org/resource/Bôcher's_theorem" , "theorem" , "Theorems in complex analysis" ,
 "http://dbpedia.org/resource/C-theorem" , "theorem" , "Theorems in mathematical physics" ,
 "http://dbpedia.org/resource/CPCTC" , "theorem" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/CPT_symmetry" , "theorem" , "Theorems in quantum physics" ,
 "http://dbpedia.org/resource/Calabi_conjecture" , "theorem" , "Theorems in differential geometry" ,
 "http://dbpedia.org/resource/Calderón–Zygmund_lemma" , "lemma" , "Lemmas --- Theorems in Fourier analysis" ,
 "http://dbpedia.org/resource/Cameron–Erdős_conjecture" , "theorem" , "Theorems in discrete mathematics" ,
 "http://dbpedia.org/resource/Cameron–Martin_theorem" , "theorem" , "Probability theorems --- Theorems in measure theory" ,
 "http://dbpedia.org/resource/Campbell's_theorem_(geometry)" , "theorem" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/Campbell's_theorem_(probability)" , "theorem" , "Probability theorems" ,
 "http://dbpedia.org/resource/Cantor's_diagonal_argument" , "theorem --- train" , "Theorems in the foundations of mathematics" ,
 "http://dbpedia.org/resource/Cantor's_intersection_theorem" , "theorem" , "Compactness theorems --- Theorems in calculus" ,
 "http://dbpedia.org/resource/Cantor's_theorem" , "theorem" , "Theorems in the foundations of mathematics" ,
 "http://dbpedia.org/resource/Capelli's_identity" , "theorem" , "Mathematical identities" ,
 "http://dbpedia.org/resource/Carathéodory's_existence_theorem" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Carathéodory's_extension_theorem" , "theorem" , "Theorems in measure theory" ,
 "http://dbpedia.org/resource/Carathéodory's_theorem_(conformal_mapping)" , "theorem" , "Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Carathéodory's_theorem_(convex_hull)" , "theorem" , "Theorems in convex geometry --- Theorems in discrete geometry" ,
 "http://dbpedia.org/resource/Carathéodory_kernel_theorem" , "theorem" , "Theorems in complex analysis" ,
